id,text,fraud_reported
543610,"""Hey there, so here's the deal - we had a real unfortunate situation go down on January 6th, 2015 in Northbend, NY. A 42-year-old lady with a passion for dancing, holding a Masters degree and working in an executive managerial position, got into a single-vehicle collision with her 2002 Ford F150 due to a front collision. It was a total loss situation that involved two bodily injuries and some property damage. The incident happened around 10 PM at 1558 1st Ridge and the cops were called in to handle the scene.

Now, this Ford F150 was insured with a policy CSL of 100/300 and an annual premium of $1253.12. The total claim amount hit $87,010 - broken down into $7,910 for injuries, $15,820 for property damage, and $63,280 for the vehicle itself. Thankfully, she had an umbrella limit of $4 million to cover most of these expenses.

To add more context, this lovely lady had been a loyal customer for over 235 months before this unfortunate event took place. Despite facing such a hefty capital gain of $38,400 from her investments, there were no capital losses to offset this unexpected financial burden. With two witnesses on the scene to verify what went down, we're doing everything we can to support her through this tough time.""",N
214618,"Oh, boy, do I have a story to tell you! So, imagine this - it's February 15th, 2015, in Springfield. A multi-vehicle collision went down at 5971 5th Hwy around 9 PM. Can you believe it? Three vehicles involved in a major front collision. The insured, a 61-year-old female executive-managerial high school grad with a passion for skydiving, was right in the middle of it all.

The Audi A3 from 2006 took a hard hit. Major damage all around. Property damage? Oh yeah, that happened. One bodily injury reported, two witnesses on the scene. But hey, at least the police report was available for the authorities contacted - Fire Department was on it.

With a policy CSL of 100/300 and a $2,000 deductible, the total claim amount reached $114,920. Can you believe it? Injury claim for $17,680, property claim matching that, and a whopping $79,560 for the vehicle claim alone. Talk about a rollercoaster ride!

And get this - the insured had been a customer for 447 months! That's some loyalty right there. Looks like the annual premium was $1,137.16 - not too shabby. But with a capital loss of -$51,000 and no umbrella limit to soften the blow, things got pretty messy financially.

All in all, one wild night with some serious aftermath to",N
842643,"Formal Style:

Upon review of the data provided, it is evident that the insured individual, a 23-year-old male with an MD education level and occupation in protective services, experienced a single vehicle collision on January 22, 2015. The incident occurred in Northbend, South Carolina at 6655 5th Drive at 9:00 AM. The collision type was classified as a rear collision, resulting in total loss severity.

Despite the absence of witnesses and a police report, the insured party did sustain one bodily injury. However, there were no property damages reported. The insured drives a 2000 Saab 95 and holds an insurance policy with coverage limits of 500/1000 and a $500 deductible. The annual premium for this policy is $1215.36.

The total claim amount for this incident is $56,520, with specific breakdowns as follows: $4,710 for injury claims, $9,420 for property claims, and $42,390 for vehicle claims. It is worth noting that there were no capital gains or losses associated with this claim.

This detailed information will be crucial in processing and assessing the insured's claim accurately and efficiently.

---

Personal Anecdotal Style:

So here's the scoop - my husband got into this crazy accident last month. He's only 23 and works in protective services (so ironic, right?). We were just reading at home when he decided to head out in his old Saab to",N
626808,"Investigation Report:

Subject: Claim File #7280-SC

Summary:
This is a detailed report on the insurance claim filed by a 34-year-old female, an MD by education level, and currently employed in the armed forces. The incident occurred on January 8, 2015, in Springfield, SC, involving a parked Toyota Highlander registered in her name.

Details:
- The insured has been a customer for 121 months, indicating a long-standing relationship with our company.
- The insured holds an MD level of education and has listed bungee jumping as her hobby, reflecting an adventurous spirit.
- The incident involved minor damage to her parked vehicle at 6582 Elm Lane, Springfield, SC, at 5 AM.
- One vehicle was involved in the incident resulting in one bodily injury and one witness present at the scene.
- Despite no property damage reported and no police report available, a claim was submitted for total damages amounting to $7280.
- Breakdown of the claim includes $1120 for injury, $1120 for property damage, and $5040 for vehicle damage.
- Financial details indicate an annual premium of $936.61 with no umbrella limit mentioned.

Conclusion:
The insured's claim appears to be legitimate based on the provided information. Further investigation may be required to validate the capital gains and losses disclosed. It is recommended to process the claim promptly to ensure customer satisfaction and retention.",N
644081,"**Casual and Conversational Style:**

Hey there! So, here's the scoop on this claim. We've got a 38-year-old female customer who's been with us for 180 months – that's dedication right there! She's into board games and works as a machine operator inspector. The incident went down on January 15th, 2015, in Springfield, SC, when her 2003 Dodge Neon got rear-ended at 12 PM on 6851 3rd Drive. Total bummer - it was a total loss.

The good news is she wasn't hurt, and there was no property damage (phew!). The cops were called, and two witnesses saw the whole thing go down. The police report is available for review if needed. Her policy details include coverage of 250/500 with a $2000 deductible and an annual premium of $1301.13.

Now onto the nitty-gritty numbers – the total claim amount comes to $46,200. This breaks down into $4,200 for injuries, $8,400 for property damage, and $33,600 for the vehicle. There were some capital gains and losses thrown into the mix too. That's the lowdown on this unfortunate fender-bender – we'll get everything sorted out for our valued customer ASAP!",Y
892874,"""Good day! We have received a claim from a valued customer who has been with us for an impressive 473 months. A 58-year-old female, with an MD education level, and working in the transport-moving industry, unfortunately experienced a multi-vehicle collision on January 29, 2015. The incident occurred in Hillsdale, West Virginia, at 9573 Weaver Ave around noon.

This collision involved four vehicles and resulted in major damage due to a side collision. Luckily, there were no bodily injuries reported, and no witnesses or police report available. Despite property damage being confirmed, the police were not contacted.

The insured was driving a 1999 Accura MDX when this incident took place. The policy details include a CSL of 100/300 with a $2000 deductible and an annual premium of $1131.4. The total claim amount requested is $63,120, which includes specific amounts for injury claims, property claims, and vehicle claims.

It seems like a complex situation with significant financial implications involved. We will conduct a thorough investigation to ensure that our customer receives the support and assistance they need during this challenging time.""",Y
558938,"""Hey there! So, here's the scoop on what went down – our guy, a 26-year-old dude who loves hiking and works as a machine operator inspector, got into a real messy rear-end collision in Riverwood while driving his 2012 Nissan Maxima. It was a three-car pile-up that left his car with some major damage. Luckily, he only suffered one bodily injury, and the cops were called to the scene. Two witnesses saw it all go down at 5074 3rd St around midnight. The claim filed for this unfortunate event sums up to $52,110, with $5,790 earmarked for injuries and property damage each, while the vehicle claim hits $40,530. Tough break, but we're here to make sure everything gets sorted out smoothly.""",N
275265,"Well, well, well, let me tell you about this wild ride of a claim we got here. So, this 31-year-old dude, just chilling and reading his books, right? Then boom! He's in a single vehicle collision over at Northbend while doing some side collision action with his 2015 Suburu Legacy. Total loss situation, man. And get this, the police were all up in it too, with the report available and everything.

Now, here's where it gets spicy - homeboy didn't just damage his ride; he went all out with a total claim amount of $77,880. Like, whoa. A chunk of that cash went into injury and property claims, totaling $21,240. But the big kahuna was the vehicle claim at $56,640. That's some serious dough right there.

All I gotta say is, this fella better buckle up 'cause he's in for quite the insurance rollercoaster with this claim. Hope he's got his seatbelt on tight for what comes next!",N
921202,"As an insurance adjuster, I recently handled a claim for a 37-year-old female MD who works in craft repair and enjoys yachting as a hobby. She's been a loyal customer for 160 months, located in Northbrook, NY (zip code 472135).

On January 19, 2015, she was involved in a single-vehicle collision at 3842 Solo Ridge, resulting in a total loss due to a side collision with her 2015 Accura TL. The incident occurred at 7:00 PM, and thankfully no witnesses were present.

Despite the severity of the accident and sustaining bodily injuries, no police report was available as the authorities were not contacted. However, there was property damage amounting to $13260. The claim totaled $72930, with breakdowns including $6630 for injuries, $13260 for property damage, and $53040 for vehicle damage.

With a policy CSL of 500/1000 and a $500 deductible, the annual premium stood at $1374.22. It's worth noting that there was no umbrella limit in place.

The financial aspects of this claim were intriguing - with capital gains of $45500 but offset by capital losses of -$37800. Despite the complexities involved, we processed the claim efficiently and provided the necessary support to our valued customer during this challenging time.",N
143972,"Formal and Professional Style:

Upon thorough investigation of the incident that occurred on February 22, 2015, in Columbus, VA, it was determined that a multi-vehicle collision took place at 8101 3rd Ridge. The collision involved three vehicles and resulted in major damage, with two reported bodily injuries. The insured party, a 39-year-old female with a high school education level and occupation as a handlers-cleaners, was identified as the policyholder.

The authorities were contacted following the incident, although no witnesses were present at the scene. Despite the lack of a police report, the total claim amount for this incident is $60,400, with detailed breakdowns including $6,040 for injury claims, $6,040 for property damage, and $48,320 for vehicle claims. The policy details indicate a coverage limit split of 500/1000 and a deductible of $2,000.

The insured's annual premium stands at $1,475.73, with no umbrella limit specified under the policy. It is noted that a significant capital gain of $57,000 is present alongside a capital loss of -$27,300 in the insured's financial records.

This comprehensive summary outlines the key details of the incident and associated insurance claim for further review and processing by relevant parties.",N
183430,"""Well, well, well... looks like we've got a seasoned customer here. With a whopping 460 months as a loyal policyholder, this 62-year-old gentleman with a JD education and a penchant for bungee-jumping had quite the adventure on January 1st, 2015. Involved in a minor rear-end collision in Columbus, NY at 8 PM, our man was driving his trusty 2011 Suburu Impreza.

Seems like it was a crowded affair with three vehicles tangled up in the mess, but thankfully, there were no witnesses to add any extra drama. The authorities were promptly contacted to sort things out.

Despite sustaining only minor bodily injuries and no property damage (lucky him!), the total claim amount clocks in at $47,160. Now that's one hefty sum! Broken down into $0 for injuries, $5,240 for property damages (which miraculously didn't happen), and a whopping $41,920 for the vehicle claim.

With a robust insurance policy of 250/500 CSL and a deductible of $1,000, this gent is covered up to $4 million with his umbrella limit - talk about being prepared for anything!

Here's hoping our adrenaline-seeking bungee-jumper can bounce back from this unexpected bump in the road smoothly. Hang tight while we process this claim efficiently and get you back behind the wheel in no time!""",N
431876,"Informative Style:

This incident involved a 41-year-old female policyholder who has been a customer for 217 months. The collision, which occurred on February 10, 2015, in Arlington, South Carolina, was a multi-vehicle accident that resulted in a total loss due to a side collision involving three vehicles. There was one reported bodily injury and two witnesses present at the scene.

The policyholder's vehicle, a 1996 Accura RSX, sustained significant damage and is included in the total claim amount of $37,840. The breakdown of this claim includes $0 for injury, $4,730 for property damage, and $33,110 for vehicle damage.

The insured individual has an Associate education level and works as a machine operator inspector. Interestingly, their hobby is skydiving. The authorities were contacted at the scene of the accident, and the policyholder's vehicle was covered under a policy with limits of 500/1000 and a deductible of $2,000. The annual premium for this policy is $875.15.

Despite the capital gains reported by the insured of $46,700 and no capital loss mentioned in the data provided, this claim presents a substantial financial impact on the policyholder. We will ensure thorough investigation and processing to support them through this challenging time.",N
285496,"""In January 2015, a 55-year-old male with 370 months as a customer experienced a major multi-vehicle collision in Hillsdale, SC. The insured, a high school graduate working in a professional specialty, was involved in a rear collision on Embaracadero Ave. The incident occurred at 8:00 PM involving three vehicles and required an ambulance to be contacted due to the severity of the damage. Fortunately, there were no bodily injuries reported, and no witnesses were present at the scene.

The insured's Suburu Forrestor, a 2000 model, sustained significant damage, resulting in a total claim amount of $71,520. This included specific claims for injuries totaling $17,880, property damage worth $5,960, and vehicle repairs amounting to $47,680. Although the policy had a CSL of 100/300 and an annual premium of $972.18 with a deductible of $2,000, the insured did not have an umbrella limit for additional coverage.

Despite the financial impact of the collision, it is fortunate that the insured did not suffer any bodily harm. With all relevant details documented in a police report, the insurance claim process can now proceed smoothly for this individual.""",Y
115399,"""Hello, this is the insurance adjuster assigned to review the claim related to a single vehicle collision in Northbend, WV, back in January 2015. The insured, a 55-year-old male with an MD education level and working in private household services, was unfortunately involved in a front collision resulting in a total loss of his beloved 2011 Dodge RAM.

The incident occurred at 5667 4th Drive around 3:00 PM on that fateful day. Two individuals sustained bodily injuries, and there were two witnesses present at the scene. The authorities were contacted, and an ambulance was dispatched promptly to assist.

The insured's policy coverage includes limits of 100/300 with a $2000 deductible and an annual premium of $1268.79. The total claim amount is $98,160, with breakdowns for injury, property, and vehicle claims. The insured had no umbrella coverage but did report a capital loss of -$31,000.

It's crucial to investigate thoroughly given the significant financial impact on the insured. Our team will work diligently to process this claim efficiently and provide the necessary support during this challenging time.""",Y
736882,"""Good day, my name is John and I am writing to report a single vehicle collision incident that occurred on February 24, 2015. The insured party, a 40-year-old male with a college education, who works in craft repair and enjoys kayaking as a hobby, was involved in a minor rear collision while driving his 2005 Ford Escape in Riverwood, VA.

The accident took place at 2502 Apache Hwy around 6 AM, involving only one vehicle. Despite the collision being categorized as causing minor damage, there was one reported bodily injury and three witnesses present at the scene. Unfortunately, no police report was available as the authorities contacted were of other jurisdiction.

The insured's policy details include coverage with limits of 100/300 and a deductible of $1000. The annual premium paid was $883.31, with no umbrella limit mentioned. The total claim amount filed sums up to $77,880, broken down into an injury claim of $7,080, property claim of $14,160, and a vehicle claim amounting to $56,640.

It is noted that there were no capital gains but a capital loss of -$53,500 incurred. Property damage was not claimed for in this instance. Rest assured that all necessary information has been provided for a thorough investigation and processing of this insurance claim.""",N
699044,"""Hey there, so check this out – this dude with a Master’s degree and a passion for polo got rear-ended in Arlington, Ohio back in January of 2015. He was just 8 months into his policy with us when his 2006 Ford Escape took a hit in a major multi-vehicle collision that involved 3 cars in total. The guy's only 35, working in sales, with his own child listed as the relationship on the policy. Crazy stuff, right? There were 3 witnesses who saw it all go down, and thankfully the police report was available. The claim came out to a whopping $71,500 with $16,500 for injuries, $11,000 for property damage, and $44,000 for the vehicle itself. Hope everything works out for him!""",Y
863236,"""As an insurance adjuster with over 10 years of experience, I recently processed a claim for a 43-year-old male policyholder who has been a loyal customer for 257 months. He holds a high school education and works in a professional specialty occupation. His main hobby is golf, which gives us a glimpse into his leisure activities.

The incident occurred on January 28, 2015, in Arlington, PA, when his parked 2005 Toyota Camry was hit, resulting in minor damage. The police were contacted, and three witnesses were present at the scene. Fortunately, there was only one vehicle involved in the accident.

Despite the minor severity of the incident, the policyholder did sustain one bodily injury. The property damage was noted and documented as well. A police report is available to provide further details and facilitate the claims process smoothly.

The claim amount totals $9,020, broken down into $1,640 for injuries, $820 for property damage, and $6,560 for the vehicle. With a policy CSL of 100/300 and a deductible of $2,000, the annual premium stands at $1,322.1 with no umbrella limit.

Although the financial impact was significant, it's clear that safety and swift resolution are top priorities for this insured individual. Processing this claim efficiently is essential to ensure his peace of mind during this challenging time.""",N
608513,"Oh man, let me tell you about this wild claim we got in the other day. So, this 34-year-old dude who's been a customer with us for over 200 months had his Suburu Forrestor stolen down in Northbrook, VA. Yeah, crazy stuff. Apparently, it happened at 5 in the morning over on Andromedia Hwy. The thief did some minor damage during the heist, but thankfully the guy had property damage coverage.

Now get this - not only did they steal his ride, but there were two people injured during the whole ordeal. And get this, the policyholder is a JD-educated exec-managerial chess enthusiast. Who would've thought, right? Anyway, the total claim amount came out to $5720 - with $1040 for injuries, $520 for property damage, and $4160 for the vehicle.

Seems like he's covered by a pretty solid policy too - with limits of 100/300 and an umbrella limit of $3 million. And hey, despite all this drama, at least he managed to pull in some capital gains of $31,000. Not too shabby for a day that started off with a stolen car!""",Y
914088,"Narrative:
Hey there! So, here's the scoop on this claim - a single vehicle collision went down in Northbend on January 8th, 2015, around 9 PM. The insured, a 40-year-old female with a JD education level who works in sales, was kayaking as a hobby. The Dodge Neon she was driving got into a side collision - minor damage situation. Thankfully, only minor injuries reported, but the car took a hit. Police report is available. No witnesses around, property damage zilch.

The policy covers $100k bodily injury per person and $300k per accident, with a $2000 deductible and an annual premium of $1291.70. Total claim amount sits at $69,840 - broken down into $7760 for injuries, $15,520 for property damage, and $46,560 for the vehicle itself. No umbrella limit applies here.

Seems like a bit of a mess but we'll get it sorted out smoothly!",N
596785,"""Hey there! So, on February 15th, 2015, a 45-year-old single lady with a PhD in Northbrook, SC, got into a minor fender-bender. She was playing basketball – her favorite hobby – just before her Acura TL got rear-ended around 5 in the evening on Francis Drive. The collision involved only her vehicle, resulting in minor damage but causing injuries to two people. No police report was filed, and property damage was a no-go.

Despite having two witnesses present at the scene, no authorities were contacted. The insurance policy with a CSL of 500/1000 and a $2000 deductible covered the incident. The total claim amount came up to $91,650, with $14,100 allocated for injury claims and property damage each, while $63,450 went towards the vehicle claim.

Looks like this unexpected event really shook things up for her - hopefully she's recovering well from those injuries!""",N
908616,"- Name: Joe
- Age: 25
- Occupation: Professional Gamer
- Education: Master's Degree

Hey there, folks! So, I was cruising around Columbus on my way back from a gaming convention when BAM! Out of nowhere, this side collision hits me. It was a mess - four cars involved, major damage everywhere. Thankfully, no injuries, but my poor Toyota Corolla took a beating.

I immediately called for an ambulance just to be safe. No witnesses around, so it's just my word against the insurance report. The cops came, filed a report, and now here we are. No property damage reported, just a hefty total claim amount of $75,600. Good thing I've got that solid insurance coverage.

Guess I'll have to level up my driving skills after this ordeal. Stay safe out there on the roads, everyone!

---

Name: Samantha Richards
Age: 32
Occupation: Risk Analyst
Education Level: Master's Degree

On January 18th, 2015, a multi-vehicle collision occurred in Columbus, SC at 4687 5th Drive at 10 PM involving four vehicles. The incident resulted in major damage to all vehicles, including a 2005 Toyota Corolla belonging to the insured party.

Fortunately, there were no bodily injuries reported, and no witnesses were present at the scene. The authorities were contacted for emergency medical services only.

The insured individual holds a comprehensive insurance policy with a CSL of",N
666333,"1. **Insurance Claim Narrative**

2. *Policyholder Information:*
   - Months as Customer: 166
   - Age: 37
   - Sex: Male
   - Education Level: JD
   - Occupation: Craft-Repair
   - Hobbies: Reading
   - Zip Code: 610393

3. *Incident Details:*
   - Date: February 28, 2015
   - Type: Multi-Vehicle Collision
   - Collision Type: Side Collision
   - Severity: Major Damage
   - Authorities Contacted: Police

4. *Location Details:*
   - State: WV
   - City: Riverwood
   - Address: 9038 2nd Lane
   - Time of Incident: 10 AM

5. *Claim Details:*
   - Vehicles Involved: 3
   - Property Damage Reported: No
   - Bodily Injuries Reported: 2
   - Witnesses Present: 2

6. *Vehicle Information:*
   - Make: Ford
   - Model: F150
   - Year: 2006

7. *Policy Coverage Details:*
   - CSL: 100/300
   - Deductible Amount: $2000
   - Annual Premium: $1337.28

8. *Claim Breakdown:
     Total Claim Amount: $67,140 
     Injury Claim Amount:$7,460 
     Property",Y
336614,"""Hey there, folks! Just got the details on a wild multi-vehicle collision involving a BMW 3 Series, total loss situation. Happened in Arlington, NY on 6092 5th Ave, around 4 pm. A real mess - 3 vehicles involved, front collision. Property damage - yup. Two injuries reported, three witnesses on scene.

The insured, a 35-year-old female with an associate's degree, working as an adm-clerical and into yachting as a hobby, has been a customer for 155 months. Her relationship to the policyholder is listed as other relative. No police report available yet.

The claim breakdown: $3,310 for injuries, $3,310 for property damage, and $23,170 for the vehicle itself - totaling $29,790. With a policy CSL of 500/1000 and a $1,000 deductible. The annual premium set at $1,088.34.

Seems like quite a day for everyone involved!""",N
584859,"""Hey there, folks! So, here's the lowdown on this insurance claim situation. We've got a 30-year-old male customer who's been with us for 114 months – that's a pretty long time, huh? He's a high school grad working in farming-fishing, and he's into video games for his hobbies. The incident went down on January 9, 2015, over in Hillsdale, NY, around 1 am. It was a messy one - a multi-vehicle collision with a front impact, resulting in major damage.

The poor guy's Suburu Impreza from 2015 got caught up in all this chaos involving three vehicles. Thankfully, he only suffered one bodily injury, but there were two witnesses on the scene. No property damage reported though. The claim amount is $77,110 in total – broken down into $14,020 for injuries, $14,020 for property damage, and $49,070 for the vehicle itself.

Looks like he had an annual premium of $1,558.29 with a policy CSL of 100/300 and a deductible of $1,000. His umbrella limit was at zero. But wait – there's more! He had some capital gains of $51,400 but also faced a capital loss of -$64,000. Quite the rollercoaster of financial ups and downs alongside this accident! Hang tight while we sort through all the details and get this claim processed for",N
990493,"""Hey there! So, let me give you the lowdown on this claim. We've got a 37-year-old male PhD holder, who's all about yachting – pretty cool hobby if you ask me. He's been with us for 149 months, quite the loyal customer. Anyway, on February 12, 2015, he was in a single-vehicle collision over in Hillsdale, WV. The incident went down around 5 PM on Maple St, involving his trusty ol' Audi A3 in a side collision that ended up being a total loss – yikes!

The fire department was called in, and the cops have a report on file. Luckily, no bodily injuries were reported, but property damage is a definite yes. Only one witness saw it all go down. The policy coverage stands at 500/1000 with a $500 deductible and an annual premium of $1415.68.

Now for the nitty-gritty numbers – the total claim amount sums up to $64,800. Of that, $10,800 is for injuries, $5,400 for property damage, and a whopping $48,600 for the vehicle itself. No capital gains or losses to worry about here.

This guy sure went through a rough one with his ride. But hey, that's what insurance is for, right? We'll get everything sorted out and get him back on the road in no time!""",N
